Age,Gender,Year,Department,CGPA,Study_Hours,Revise_Notes,Exam_Preparation,Study_Schedule,Assignments_On_Time,Attendance,Class_Participation,Ask_Questions,Sleep,Exercise,Stress_Level,Stress_Affects_Studies,Social_Media_Usage,Most_Used_Platform,Distracted_By_Social_Media,Educational_Resources_Usage,Main_Educational_Resource,Reason_For_Degree,Motivation,Dedicated_Study_Environment,Time_Management,Biggest_Factor,Suggested_Improvement
22,Female,4th Year,Mathematics,9.01,More than 4 hours,Never,3–7 days,Yes,Never,Above 85%,Often,Always,7–8 hours,Once a week,Low,Always,Less than 1 hour,Instagram,Often,Rarely,ChatGPT,Career Opportunities,Moderate,No,Good,Attendance,Less distraction
20,Male,1st Year,Computer Science,7.46,2–4 hours,Sometimes,More than a week,Yes,Always,Above 85%,Never,Often,Less than 5 hours,Once a week,Moderate,Often,Less than 1 hour,LinkedIn,Sometimes,Never,YouTube,Personal Interest,High,Yes,Average,Motivation,Regular attendance
18,Female,2nd Year,Computer Science,6.41,1–2 hours,Rarely,3–7 days,Yes,Always,50–70%,Rarely,Always,7–8 hours,Daily,Very Low,Never,4–6 hours,Instagram,Always,Rarely,Udemy,Career Opportunities,Moderate,No,Poor,Motivation,Less distraction
22,Other,1st Year,Data Science,7.32,1–2 hours,Rarely,Same day,No,Rarely,70–85%,Rarely,Always,7–8 hours,2–3 times a week,High,Rarely,Less than 1 hour,LinkedIn,Rarely,Sometimes,Other AI Tools,Peer Influence,Very High,No,Very Poor,Motivation,Regular attendance
22,Male,3rd Year,Mathematics,6.89,2–4 hours,Never,1–2 days,No,Sometimes,50–70%,Always,Sometimes,6–7 hours,4–5 times a week,Very Low,Always,Less than 1 hour,Other,Often,Often,Udemy,Family Influence,High,Yes,Poor,Time management,More revision
21,Other,4th Year,Mathematics,8.22,2–4 hours,Often,Same day,No,Rarely,Above 85%,Never,Rarely,More than 8 hours,Daily,High,Often,1–2 hours,LinkedIn,Always,Never,YouTube,Family Influence,Very Low,Yes,Average,Sleep,Better planning
20,Other,1st Year,Mathematics,7.27,2–4 hours,Never,More than a week,Yes,Never,50–70%,Rarely,Sometimes,7–8 hours,4–5 times a week,Low,Always,2–4 hours,X/Twitter,Never,Sometimes,Coursera,Other,Low,Yes,Average,Attendance,More revision
20,Male,3rd Year,Computer Science,6.38,2–4 hours,Often,3–7 days,Yes,Usually,50–70%,Rarely,Never,Less than 5 hours,Once a week,Moderate,Rarely,1–2 hours,YouTube,Often,Often,ChatGPT,Other,Low,No,Poor,Stress,More sleep
18,Other,2nd Year,Economics,4.51,1–2 hours,Always,1–2 days,Yes,Always,Below 50%,Sometimes,Always,5–6 hours,Never,Very High,Often,4–6 hours,Facebook,Sometimes,Never,Other AI Tools,Career Opportunities,High,No,Average,Motivation,Regular attendance
18,Male,2nd Year,Statistics,7.22,1–2 hours,Often,3–7 days,Yes,Sometimes,70–85%,Sometimes,Rarely,7–8 hours,2–3 times a week,High,Always,2–4 hours,Other,Sometimes,Often,ChatGPT,Family Influence,Moderate,No,Average,Stress,Regular attendance
21,Other,4th Year,Computer Science,8.07,More than 4 hours,Often,Same day,No,Always,50–70%,Rarely,Often,6–7 hours,Daily,Very Low,Rarely,2–4 hours,LinkedIn,Never,Sometimes,Coursera,Personal Interest,High,No,Excellent,Motivation,Less distraction
19,Female,2nd Year,Data Science,5.9,More than 4 hours,Sometimes,More than a week,No,Usually,50–70%,Rarely,Often,More than 8 hours,4–5 times a week,Moderate,Never,More than 6 hours,Other,Never,Never,Other,Career Opportunities,Moderate,Yes,Good,Time management,Better planning
20,Female,4th Year,Data Science,6.24,2–4 hours,Never,Same day,No,Sometimes,50–70%,Sometimes,Rarely,7–8 hours,Never,Moderate,Never,4–6 hours,YouTube,Always,Never,Other,Family Influence,High,Yes,Very Poor,Social media,More revision
21,Male,3rd Year,Computer Science,6.59,2–4 hours,Rarely,More than a week,Yes,Never,70–85%,Never,Often,More than 8 hours,2–3 times a week,Very High,Always,4–6 hours,Facebook,Often,Often,Udemy,Career Opportunities,Very High,No,Poor,Time management,Better planning
21,Other,1st Year,Mathematics,4.51,2–4 hours,Rarely,More than a week,No,Never,Below 50%,Never,Rarely,Less than 5 hours,Never,Very High,Sometimes,More than 6 hours,Other,Never,Sometimes,ChatGPT,Family Influence,Low,No,Poor,Stress,More revision
20,Other,1st Year,Statistics,6.36,2–4 hours,Never,1–2 days,Yes,Always,50–70%,Always,Sometimes,More than 8 hours,Never,Very High,Never,More than 6 hours,YouTube,Sometimes,Rarely,YouTube,Family Influence,High,Yes,Excellent,Time management,More sleep
21,Other,2nd Year,Statistics,6.44,2–4 hours,Never,More than a week,No,Always,70–85%,Never,Rarely,More than 8 hours,Once a week,Very High,Rarely,More than 6 hours,LinkedIn,Always,Often,Coursera,Other,Low,Yes,Average,Social media,Regular attendance
20,Other,3rd Year,Economics,6.28,More than 4 hours,Sometimes,3–7 days,Yes,Never,Below 50%,Never,Always,7–8 hours,Daily,Moderate,Rarely,1–2 hours,X/Twitter,Often,Rarely,YouTube,Other,Very High,Yes,Average,Social media,Better planning
21,Male,2nd Year,Economics,6.29,More than 4 hours,Always,1–2 days,No,Never,70–85%,Rarely,Often,6–7 hours,2–3 times a week,Moderate,Rarely,More than 6 hours,YouTube,Always,Often,Coursera,Family Influence,Very Low,Yes,Average,Attendance,Less distraction
19,Female,3rd Year,Data Science,5.33,1–2 hours,Never,More than a week,Yes,Usually,50–70%,Always,Often,6–7 hours,Once a week,Moderate,Often,More than 6 hours,Instagram,Always,Never,Other,Personal Interest,Moderate,No,Excellent,Sleep,Better planning
18,Other,1st Year,Mathematics,8.47,2–4 hours,Sometimes,3–7 days,No,Never,Above 85%,Never,Always,6–7 hours,4–5 times a week,Very Low,Never,2–4 hours,Instagram,Rarely,Often,Other AI Tools,Career Opportunities,Very High,Yes,Average,Time management,Less distraction
19,Other,4th Year,Mathematics,5.37,Less than 1 hour,Often,Same day,No,Always,50–70%,Rarely,Always,7–8 hours,Daily,High,Often,4–6 hours,Facebook,Rarely,Often,YouTube,Family Influence,Very Low,Yes,Good,Stress,Less distraction
21,Male,2nd Year,Data Science,4.47,Less than 1 hour,Never,More than a week,Yes,Always,70–85%,Never,Always,Less than 5 hours,Once a week,Moderate,Often,4–6 hours,LinkedIn,Always,Sometimes,YouTube,Personal Interest,Very High,Yes,Good,Attendance,Better planning
18,Other,4th Year,Data Science,5.02,1–2 hours,Sometimes,1–2 days,Yes,Rarely,Below 50%,Always,Never,Less than 5 hours,4–5 times a week,Very High,Often,Less than 1 hour,LinkedIn,Often,Never,YouTube,Other,Very High,Yes,Good,Motivation,Regular attendance
20,Other,1st Year,Data Science,7.06,2–4 hours,Rarely,3–7 days,Yes,Rarely,70–85%,Sometimes,Sometimes,5–6 hours,2–3 times a week,High,Sometimes,2–4 hours,Facebook,Rarely,Never,Udemy,Career Opportunities,Very High,Yes,Poor,Sleep,More sleep
19,Female,1st Year,Mathematics,7.11,More than 4 hours,Sometimes,3–7 days,No,Never,50–70%,Sometimes,Never,6–7 hours,2–3 times a week,Moderate,Often,2–4 hours,Other,Never,Never,Other AI Tools,Peer Influence,Very High,No,Very Poor,Stress,More revision
21,Female,3rd Year,Economics,7.84,1–2 hours,Never,Same day,No,Usually,70–85%,Rarely,Never,7–8 hours,4–5 times a week,High,Often,Less than 1 hour,X/Twitter,Often,Never,Udemy,Peer Influence,Low,No,Good,Sleep,Regular attendance
20,Male,1st Year,Data Science,5.31,2–4 hours,Often,1–2 days,Yes,Always,Below 50%,Never,Never,Less than 5 hours,Once a week,Low,Always,2–4 hours,LinkedIn,Often,Never,Udemy,Personal Interest,High,Yes,Good,Social media,More sleep
18,Other,1st Year,Mathematics,6.14,Less than 1 hour,Sometimes,3–7 days,No,Always,Above 85%,Never,Rarely,More than 8 hours,Never,Very Low,Often,More than 6 hours,Instagram,Sometimes,Rarely,Udemy,Personal Interest,High,No,Very Poor,Stress,Less distraction
19,Female,1st Year,Computer Science,5.53,More than 4 hours,Often,More than a week,No,Never,Below 50%,Sometimes,Sometimes,Less than 5 hours,Daily,High,Rarely,2–4 hours,LinkedIn,Often,Never,Other,Personal Interest,Very Low,Yes,Excellent,Motivation,Regular attendance
22,Male,4th Year,Statistics,7.24,Less than 1 hour,Often,More than a week,Yes,Usually,Above 85%,Sometimes,Rarely,6–7 hours,4–5 times a week,Very High,Sometimes,Less than 1 hour,YouTube,Never,Often,ChatGPT,Other,Low,Yes,Excellent,Social media,More revision
21,Female,3rd Year,Statistics,7.82,More than 4 hours,Rarely,1–2 days,No,Usually,50–70%,Always,Often,More than 8 hours,Never,High,Often,Less than 1 hour,Instagram,Rarely,Very Frequently,Udemy,Personal Interest,Moderate,Yes,Poor,Stress,More revision
20,Female,1st Year,Mathematics,7.87,More than 4 hours,Sometimes,Same day,Yes,Never,Above 85%,Never,Often,6–7 hours,Daily,High,Rarely,1–2 hours,Other,Rarely,Never,Other,Personal Interest,Very High,No,Poor,Time management,Better planning
22,Female,2nd Year,Economics,4.94,Less than 1 hour,Often,More than a week,Yes,Rarely,70–85%,Always,Sometimes,More than 8 hours,Never,Very High,Sometimes,More than 6 hours,YouTube,Always,Often,Other AI Tools,Career Opportunities,Very High,No,Poor,Sleep,Better planning
18,Female,2nd Year,Economics,4,Less than 1 hour,Never,3–7 days,No,Usually,50–70%,Never,Rarely,Less than 5 hours,Daily,Very Low,Sometimes,More than 6 hours,Instagram,Often,Rarely,YouTube,Peer Influence,High,Yes,Average,Social media,More revision
22,Male,4th Year,Economics,4.48,Less than 1 hour,Often,More than a week,No,Rarely,50–70%,Never,Often,Less than 5 hours,Daily,Very High,Never,1–2 hours,LinkedIn,Often,Never,Other AI Tools,Family Influence,Very Low,Yes,Poor,Attendance,More sleep
18,Male,1st Year,Data Science,6.36,1–2 hours,Often,More than a week,Yes,Usually,50–70%,Never,Sometimes,7–8 hours,2–3 times a week,Moderate,Rarely,1–2 hours,Other,Never,Very Frequently,Coursera,Personal Interest,Low,Yes,Poor,Attendance,More sleep
20,Male,3rd Year,Statistics,7.15,Less than 1 hour,Rarely,Same day,No,Rarely,70–85%,Sometimes,Often,6–7 hours,2–3 times a week,Moderate,Always,Less than 1 hour,Instagram,Sometimes,Never,Coursera,Peer Influence,High,No,Average,Social media,Better planning
18,Other,3rd Year,Computer Science,7.87,2–4 hours,Sometimes,1–2 days,Yes,Never,Above 85%,Rarely,Often,6–7 hours,2–3 times a week,Very High,Never,1–2 hours,LinkedIn,Rarely,Sometimes,YouTube,Peer Influence,Very Low,No,Poor,Sleep,Less distraction
21,Other,1st Year,Economics,9.18,More than 4 hours,Sometimes,Same day,No,Usually,Above 85%,Always,Often,More than 8 hours,2–3 times a week,Low,Always,1–2 hours,YouTube,Rarely,Very Frequently,ChatGPT,Peer Influence,High,No,Excellent,Stress,More sleep
21,Male,3rd Year,Mathematics,7.16,More than 4 hours,Often,1–2 days,No,Rarely,Above 85%,Never,Always,5–6 hours,4–5 times a week,Moderate,Never,2–4 hours,Facebook,Sometimes,Rarely,Udemy,Family Influence,Moderate,No,Poor,Stress,Less distraction
22,Female,3rd Year,Data Science,6.33,1–2 hours,Often,Same day,Yes,Rarely,70–85%,Always,Often,5–6 hours,Daily,Very High,Often,1–2 hours,Instagram,Rarely,Very Frequently,Other,Peer Influence,Very High,No,Excellent,Motivation,More sleep
19,Male,3rd Year,Statistics,6.28,Less than 1 hour,Often,Same day,Yes,Rarely,70–85%,Rarely,Never,6–7 hours,Never,Very High,Often,1–2 hours,X/Twitter,Sometimes,Sometimes,YouTube,Other,Very Low,Yes,Excellent,Attendance,More revision
22,Female,2nd Year,Economics,7.79,More than 4 hours,Sometimes,Same day,Yes,Usually,Above 85%,Sometimes,Sometimes,More than 8 hours,Daily,Very Low,Sometimes,More than 6 hours,YouTube,Rarely,Rarely,Other AI Tools,Peer Influence,High,No,Very Poor,Motivation,More revision
22,Female,3rd Year,Statistics,5.36,Less than 1 hour,Sometimes,More than a week,No,Sometimes,Below 50%,Never,Sometimes,7–8 hours,Once a week,Moderate,Always,1–2 hours,LinkedIn,Sometimes,Never,Other AI Tools,Other,Low,No,Average,Sleep,More revision
22,Female,1st Year,Statistics,4,1–2 hours,Rarely,1–2 days,No,Usually,Below 50%,Rarely,Sometimes,Less than 5 hours,2–3 times a week,Low,Rarely,More than 6 hours,LinkedIn,Often,Sometimes,Other AI Tools,Peer Influence,High,No,Average,Time management,Better planning
19,Female,3rd Year,Mathematics,6.03,Less than 1 hour,Rarely,1–2 days,No,Sometimes,Above 85%,Often,Never,6–7 hours,4–5 times a week,Low,Never,4–6 hours,LinkedIn,Rarely,Rarely,YouTube,Family Influence,Low,No,Very Poor,Social media,Regular attendance
22,Other,2nd Year,Economics,7.47,More than 4 hours,Often,1–2 days,No,Never,70–85%,Often,Rarely,6–7 hours,2–3 times a week,High,Often,2–4 hours,YouTube,Rarely,Often,ChatGPT,Family Influence,Very High,Yes,Average,Time management,Regular attendance
18,Female,1st Year,Statistics,5.93,2–4 hours,Never,Same day,Yes,Rarely,50–70%,Sometimes,Rarely,Less than 5 hours,Once a week,High,Often,4–6 hours,Other,Often,Often,YouTube,Peer Influence,Very High,No,Very Poor,Attendance,Regular attendance
18,Other,2nd Year,Statistics,4.7,Less than 1 hour,Always,Same day,Yes,Sometimes,Below 50%,Always,Sometimes,7–8 hours,Daily,Very Low,Often,2–4 hours,Facebook,Never,Never,Other,Career Opportunities,High,Yes,Very Poor,Attendance,More revision
22,Male,2nd Year,Economics,6.66,More than 4 hours,Never,Same day,No,Sometimes,70–85%,Often,Rarely,5–6 hours,Once a week,Very Low,Often,2–4 hours,LinkedIn,Rarely,Often,Other,Family Influence,Low,No,Good,Time management,Regular attendance
22,Male,3rd Year,Data Science,4.23,1–2 hours,Rarely,More than a week,Yes,Never,Below 50%,Rarely,Rarely,More than 8 hours,Once a week,High,Sometimes,4–6 hours,LinkedIn,Sometimes,Very Frequently,YouTube,Career Opportunities,Low,Yes,Average,Social media,Regular attendance
19,Other,3rd Year,Data Science,8.64,More than 4 hours,Always,Same day,Yes,Sometimes,Above 85%,Never,Never,7–8 hours,Daily,Moderate,Sometimes,Less than 1 hour,YouTube,Always,Very Frequently,Udemy,Personal Interest,Very Low,Yes,Good,Social media,Regular attendance
18,Other,3rd Year,Statistics,5.85,1–2 hours,Rarely,1–2 days,Yes,Sometimes,50–70%,Never,Sometimes,5–6 hours,4–5 times a week,Moderate,Always,2–4 hours,Facebook,Always,Very Frequently,Other AI Tools,Other,Moderate,Yes,Poor,Motivation,More sleep
21,Other,3rd Year,Statistics,5.37,More than 4 hours,Always,1–2 days,Yes,Usually,50–70%,Always,Always,Less than 5 hours,Daily,High,Often,More than 6 hours,Facebook,Rarely,Sometimes,Other AI Tools,Family Influence,Very High,Yes,Excellent,Sleep,Less distraction
20,Other,2nd Year,Statistics,7.45,1–2 hours,Rarely,Same day,Yes,Never,70–85%,Sometimes,Never,6–7 hours,4–5 times a week,Low,Always,Less than 1 hour,Instagram,Rarely,Sometimes,ChatGPT,Peer Influence,Very Low,Yes,Poor,Motivation,More sleep
22,Other,4th Year,Economics,4.59,Less than 1 hour,Often,Same day,Yes,Always,50–70%,Rarely,Often,Less than 5 hours,Once a week,High,Rarely,1–2 hours,X/Twitter,Sometimes,Sometimes,Udemy,Career Opportunities,High,No,Very Poor,Attendance,More sleep
21,Female,2nd Year,Computer Science,7.98,More than 4 hours,Always,1–2 days,No,Rarely,Above 85%,Always,Rarely,Less than 5 hours,Never,Moderate,Rarely,1–2 hours,Facebook,Sometimes,Never,Udemy,Peer Influence,Low,No,Excellent,Social media,Less distraction
19,Male,3rd Year,Mathematics,6.01,1–2 hours,Sometimes,3–7 days,Yes,Always,Below 50%,Always,Sometimes,7–8 hours,Once a week,High,Never,1–2 hours,LinkedIn,Often,Never,Coursera,Career Opportunities,Very High,Yes,Good,Time management,More sleep
20,Other,4th Year,Economics,6.35,More than 4 hours,Sometimes,1–2 days,No,Sometimes,Below 50%,Often,Sometimes,More than 8 hours,Never,Very Low,Never,1–2 hours,Instagram,Often,Rarely,YouTube,Peer Influence,Very Low,No,Poor,Attendance,Better planning
20,Female,1st Year,Statistics,8.13,More than 4 hours,Always,Same day,No,Sometimes,Above 85%,Often,Sometimes,6–7 hours,Never,Low,Rarely,4–6 hours,LinkedIn,Always,Sometimes,YouTube,Family Influence,High,Yes,Excellent,Motivation,More revision
21,Male,1st Year,Data Science,4.07,Less than 1 hour,Always,More than a week,No,Usually,50–70%,Rarely,Often,5–6 hours,Once a week,Very Low,Rarely,4–6 hours,X/Twitter,Often,Rarely,Coursera,Peer Influence,High,No,Excellent,Social media,More sleep
22,Male,3rd Year,Computer Science,7.62,2–4 hours,Sometimes,More than a week,No,Usually,Above 85%,Never,Never,Less than 5 hours,Once a week,Moderate,Always,Less than 1 hour,Other,Always,Rarely,Coursera,Other,Moderate,Yes,Poor,Social media,More sleep
18,Female,2nd Year,Computer Science,4.61,Less than 1 hour,Often,More than a week,No,Sometimes,50–70%,Sometimes,Rarely,6–7 hours,4–5 times a week,Very High,Sometimes,4–6 hours,LinkedIn,Never,Never,YouTube,Peer Influence,Moderate,No,Very Poor,Time management,Better planning
22,Other,4th Year,Computer Science,7.1,2–4 hours,Often,3–7 days,Yes,Never,70–85%,Always,Often,7–8 hours,4–5 times a week,Low,Often,2–4 hours,LinkedIn,Often,Sometimes,YouTube,Career Opportunities,Moderate,Yes,Very Poor,Motivation,Better planning
18,Female,2nd Year,Economics,5.94,1–2 hours,Always,More than a week,Yes,Always,Below 50%,Sometimes,Often,More than 8 hours,4–5 times a week,Very High,Sometimes,Less than 1 hour,Facebook,Always,Very Frequently,YouTube,Career Opportunities,Very Low,Yes,Very Poor,Time management,More sleep
22,Male,3rd Year,Computer Science,8.17,2–4 hours,Never,Same day,Yes,Sometimes,Above 85%,Sometimes,Rarely,7–8 hours,Daily,Very High,Always,2–4 hours,Instagram,Always,Rarely,Udemy,Personal Interest,Low,Yes,Average,Sleep,More sleep
19,Female,3rd Year,Economics,7.91,2–4 hours,Never,1–2 days,No,Always,70–85%,Always,Rarely,More than 8 hours,Daily,Very Low,Sometimes,Less than 1 hour,LinkedIn,Rarely,Often,YouTube,Family Influence,Very Low,Yes,Poor,Social media,More revision
22,Female,1st Year,Computer Science,7.64,2–4 hours,Often,Same day,Yes,Never,Above 85%,Sometimes,Sometimes,Less than 5 hours,4–5 times a week,High,Never,2–4 hours,LinkedIn,Often,Very Frequently,Other AI Tools,Other,Very Low,Yes,Good,Social media,Better planning
18,Female,1st Year,Computer Science,4.72,1–2 hours,Never,Same day,Yes,Sometimes,Below 50%,Sometimes,Always,Less than 5 hours,4–5 times a week,High,Sometimes,2–4 hours,Facebook,Never,Sometimes,Udemy,Peer Influence,Low,Yes,Excellent,Attendance,Better planning
19,Male,2nd Year,Data Science,7.03,2–4 hours,Always,1–2 days,No,Usually,70–85%,Never,Rarely,Less than 5 hours,2–3 times a week,High,Often,2–4 hours,LinkedIn,Always,Sometimes,Udemy,Peer Influence,Low,Yes,Average,Stress,Regular attendance
18,Male,4th Year,Statistics,8.35,More than 4 hours,Sometimes,More than a week,No,Rarely,Above 85%,Never,Never,5–6 hours,Once a week,Very Low,Never,Less than 1 hour,LinkedIn,Never,Very Frequently,ChatGPT,Other,Very High,Yes,Good,Social media,Better planning
18,Female,3rd Year,Economics,7.49,2–4 hours,Sometimes,Same day,Yes,Always,Above 85%,Often,Sometimes,More than 8 hours,Daily,High,Rarely,4–6 hours,Other,Often,Often,YouTube,Other,Low,No,Excellent,Stress,Regular attendance
21,Female,2nd Year,Data Science,5.96,Less than 1 hour,Never,3–7 days,No,Never,70–85%,Sometimes,Always,5–6 hours,2–3 times a week,High,Often,Less than 1 hour,X/Twitter,Sometimes,Very Frequently,Other AI Tools,Peer Influence,Very High,No,Poor,Stress,Regular attendance
22,Female,3rd Year,Economics,5.96,2–4 hours,Often,More than a week,No,Rarely,50–70%,Sometimes,Rarely,More than 8 hours,4–5 times a week,Very High,Always,2–4 hours,X/Twitter,Sometimes,Rarely,Coursera,Family Influence,Very High,Yes,Average,Social media,Regular attendance
19,Female,4th Year,Statistics,7.98,More than 4 hours,Often,More than a week,Yes,Usually,Above 85%,Rarely,Always,More than 8 hours,Never,Moderate,Sometimes,1–2 hours,Instagram,Never,Very Frequently,Other,Other,Very Low,No,Poor,Time management,Less distraction
18,Male,1st Year,Computer Science,5.84,1–2 hours,Often,3–7 days,No,Sometimes,70–85%,Often,Often,5–6 hours,Once a week,Very High,Rarely,1–2 hours,Other,Sometimes,Sometimes,YouTube,Personal Interest,Very Low,No,Very Poor,Attendance,More revision
18,Male,4th Year,Computer Science,4.7,Less than 1 hour,Sometimes,More than a week,No,Sometimes,Below 50%,Sometimes,Sometimes,7–8 hours,Daily,Moderate,Never,Less than 1 hour,Other,Sometimes,Often,Other AI Tools,Career Opportunities,Very Low,Yes,Poor,Motivation,Less distraction
21,Other,2nd Year,Data Science,6.9,Less than 1 hour,Rarely,1–2 days,No,Always,70–85%,Always,Often,7–8 hours,Daily,Low,Always,Less than 1 hour,Instagram,Rarely,Rarely,Coursera,Other,Low,Yes,Very Poor,Motivation,Better planning
22,Male,3rd Year,Statistics,5.85,Less than 1 hour,Always,3–7 days,Yes,Never,70–85%,Rarely,Never,7–8 hours,Once a week,High,Always,2–4 hours,Facebook,Always,Sometimes,Coursera,Career Opportunities,Moderate,No,Poor,Stress,More revision
22,Other,3rd Year,Computer Science,4.91,Less than 1 hour,Often,3–7 days,No,Rarely,70–85%,Always,Sometimes,5–6 hours,Once a week,Very High,Rarely,4–6 hours,Facebook,Rarely,Never,ChatGPT,Family Influence,Very Low,No,Excellent,Motivation,Regular attendance
